,review_id,product_id,reviewer_id,stars,review_body,review_title,language,product_category
185236,es_0501957,product_es_0129677,reviewer_es_0040865,5,"es muy ligera, pero da bastante calor. soy un hombre de 1,90 Mt y 100 kg, la talla es justita ( pero me pasa con mucha ropa de marca igual)",ligero y calentito,es,apparel
79745,es_0751486,product_es_0959351,reviewer_es_0881997,2,No las volvería a comprar,Demasiado plástico,es,apparel
120596,es_0314647,product_es_0696205,reviewer_es_0619621,4,"Lo compre para un regalo, lo que me ha gustado es que tenga un elástico en el tobillo, me costó encontrar pijamas que tuvieran el elástico.",Me gusto para regalar,es,apparel
44189,es_0276437,product_es_0009023,reviewer_es_0866409,2,Muy bonito para pechos no muy grandes,Está bien,es,apparel
64835,es_0062930,product_es_0719415,reviewer_es_0804837,2,"No queda como en la foto porque las mangas no son ajustadas, si no que quedan anchas y por tanto cambia todo el efecto del vestido",Las mangas quedan anchas,es,apparel
118318,es_0121772,product_es_0297498,reviewer_es_0031127,3,"Me llegó en el plazo previsto, pero cuando me lo probé, me estaba un poco ancho (y eso que tiene que estar pegado y pedí la talla más chica). Además se me rompió una de las tiras que se unen a la media, por lo que hace el producto inservible. Aún así lo arreglé y cuando me lo puse y lo estrené, los broches se iban soltando porque no estaban muy sujetos. Para el percio que tiene, no se puede pedir mucho más, por eso las tres estrellas",Frágil y de poca calidad,es,apparel
111232,es_0747585,product_es_0985499,reviewer_es_0376919,3,"Me han parecido súper cómodos, el color es súper bonito. La única pega es que son un pelín cortos para mi gusto, no soy muy moderna, pero es culpa mía porque no me fijé.",Pantalones chándal,es,apparel
46815,es_0468609,product_es_0384933,reviewer_es_0880116,2,"Devolvi el que pedí porque no se ajustaba a mis medidas elegidas, he pedido una talla menos y me ha llegado este que lleva unas etiquetas indicando el material pero es muy vistoso y quedan muy feas,las anteriores no lo llevaban y la tela era mas suave. Hay un error de costura y esto no me ha gustado nada no se si devolver el producto de nuevo, no estoy satisfecha del todo.",Error de costura,es,apparel
111091,es_0921960,product_es_0430475,reviewer_es_0548617,3,Más que zapatillas son unos calcetines antideslizantes.,Zapatillas ¿?,es,apparel
197531,es_0649767,product_es_0878365,reviewer_es_0904931,5,divertidos y por fin no tengo que emparejar los calcetines... una preocupacion menos.... llegaron en tiempo acordados y perfectos. son de buena calidad y calentitos.,Son divinos....,es,apparel
117694,es_0792406,product_es_0287653,reviewer_es_0378483,3,"Es de buena calidad pero demasiado poca talla y es demasiado corto, se me sube a menudo y esto que la compré en una talla mayor que la mís.","Muy corta, da poca talla",es,apparel
109900,es_0113526,product_es_0091379,reviewer_es_0165911,3,"Para un bebe de 1 año no va tan bien ,en mi experiencia ,al tener lo brazos a los lados esta incomodo y la cabeza se va para atras,no traga agua pero no esta comodo,se escurre por abajo ,yo lo provare cuando sea mas grande a ver que pass",Regular,es,apparel
18703,es_0518425,product_es_0908248,reviewer_es_0541823,1,Horrible. Para un disfraz está bien. Para lo que yo necesitaba no,Demasiado volumen. Se nota mucho los aros,es,apparel
80779,es_0436488,product_es_0118106,reviewer_es_0853496,3,Pantalón y gorro de mala calidad y de color raro. El body sin embargo es lo único que usé es de buena calidad y bonito,Solo vale la pena el body,es,apparel
60962,es_0361976,product_es_0252555,reviewer_es_0844454,2,"La gorra es bonita. Pero las costuras no están alineadas. Para el precio que tiene, me ha dejado bastante desilusionado. Ya que era para un regalo, y no me a echo quedar bien.",Costuras mal alineadas,es,apparel
47599,es_0255029,product_es_0913234,reviewer_es_0087750,2,Cada uno de un tamaño no me están son muy pequeños,Cada uno de una talla y los dos pequeños,es,apparel
64808,es_0230363,product_es_0534285,reviewer_es_0684846,2,"Si eres ancha de caderas no te sirve, viene una talla pequeña. En cuanto a calidad del material bien.",Faja postparto,es,apparel
131388,es_0505981,product_es_0583673,reviewer_es_0687018,4,Muy cómodos y confortables. A ver lo que duran,Comodos,es,apparel
196699,es_0397095,product_es_0771638,reviewer_es_0066603,5,"Las uso porque estoy muchas horas delante del ordenador. Llevo poco tiempo usándolas, pero resultan cómodas y están hechas con buenos materiales. Las recomiendo.",Cómodas y prácticas.,es,apparel
123771,es_0549794,product_es_0030093,reviewer_es_0613639,4,Está bien de tamaño para mí nieta de 5 años. Es muy bonita y parece de buena calidad. Espero que con el huso sea así. Cómo no la ha probado le doy 4 estrellas.,Opinion sobre mochila Patrulla Canina,es,apparel
92864,es_0550427,product_es_0247184,reviewer_es_0498914,3,"NO son muy antideslizantes y encogen bastante despues del primer lavado, a pesar de todo son útiles y de buena calidad",Calcetines antideslizantes,es,apparel
